Type	dana	dfic	dere	drho
Amd	Gene	44.637	46.336	44.132	42.955
Ddc	Gene	43.179	42.134	43.006	44.73
Muscle_protein_20	Gene	30.808	29.366	29.364	29.786
Adh	Gene	52.537	60.153	56.18	55.636
Annexin_x	Gene	29.698	40.3	37.643	35.352
Rab35	Gene	37.702	37.787	38.95	38.818
pickel(pck)	Gene	43.243	42.597	37.281	40.083
Adar	Gene	54.656	56.023	57.341	56.014
Pgd	Gene	39.771	29.699	38.264	32.623
Kirre	Gene	51.509	45.851	50.359	53.589
Mcm3	Gene	39.012	38.733	39.823	45.452
CG42265	Gene	36.279	30.505	40.953	42.249
CG4593	Gene	43.641	44.247	41.099	40.827
CG14434	Gene	44.847	59.516	48.383	48.295
CG14435	Gene	48.149	48.918	48.272	50.353
Gclc	Gene	35.914	31.46	41.645	40.918
CG10959	Gene	57.772	47.127	46.223	40.214
CG12065	Gene	49.098	42.91	41.146	37.241
Lim1	Gene	39.046	41.115	41.782	40.625
CG42388	Gene	36.467	39.485	41.415	39.552
CG7033	Gene	36.889	34.236	34.939	34.478
Ap-1gamma	Gene	46.487	40.47	42.154	42.267
Bx42	Gene	50.88	42.186	45.349	44.299
CG1986	Gene	37.532	44.621	35.069	42.63
grau	Gene	51.263	41.727	41.091	37.837
CG42381	Gene	46.326	52.499	50.628	53.025
CG4386	Gene	42.343	50.513	50.656	49.6
G1cT-1	Gene	39.391	36.373	40.63	37.503
Vps35	Gene	48.422	43.374	49.456	44.842
CG2921	Gene	48.389	54.355	49.806	50.071
wrapper	Gene	51.359	50.969	49.804	43.409
CG4610	Gene	53.968	57.21	52.389	53.749
Vsp20	Gene	47.332	46.447	45.29	41.205
blw	Gene	29.848	30.507	29.181	29.62
Gmer	Gene	53.047	53.16	47.804	58.092
CG30196	Gene	53.768	42.419	39.875	38.931
Art7	Gene	55.301	52.293	48.524	53.626
CG4091	Gene	47.482	46.859	41.832	44.079
CG2812	Gene	51.548	42.799	40.1	52.376
CG3209	Gene	57.339	56.413	51.711	58.319
Ca-P60A	Gene	38.334	38.27	36.132	35.676
Nap1	Gene	48.593	45.949	42.191	50.127
CG4585	Gene	51.058	46.289	36.514	43.626
CG4797	Gene	54.235	40.378	41.685	53.02
CG3419	Gene	51.629	47.926	47.841	50.083
CG16912	Gene	45.122	52.923	46.009	45.294
cln3	Gene	53.697	49.234	51.412	50.308
PRL-1-RA	Gene	55.356	52.781	60.002	55.954
TER-94	Gene	36.911	31.626	39.122	35.539
Vps25	Gene	54.103	57.455	48.966	41.435
droso:11.a	TE	53.618	NA	NA	57.701
droso:11.b	TE	57.939	47.354	NA	NA
irritans:16	TE	45.789	NA	NA	53.856
irritans:10	TE	52.966	57.524	NA	57.524
mellifera:13	TE	60.769	60.184	NA	60.184
mellifera:5	TE	61	59.503	NA	61
vertumana:2	TE	55.52	NA	57.469	56.246
I:1.a	TE	45.757	46.458	45.909	45.757
I:1.b	TE	NA	45.757	NA	NA
mauritiana:24	TE	55.632	55.632	NA	NA
droso:4	TE	54.21	NA	53.135	50.355
droso1:22	TE	50.294	50.266	NA	50.294
mauritiana:26	TE	49.005	NA	NA	50.611
mellifera:6	TE	61	58.091	55.123	55.123
P:1.a	TE	NA	61	NA	61
irritans:23	TE	56.448	NA	NA	60.618
droso:30	TE	53.134	51.757	NA	NA
vertumana:12	TE	53.442	55.441	NA	NA
irritans:21	TE	55.478	55.555	NA	NA
irritans:31	TE	53.114	52.574	NA	NA
droso:8	TE	55.128	44.948	44.948	NA
irritans:36	TE	56.084	56.812	NA	NA
helena:1	TE	52.149	NA	56.795	NA
