seq	dS	sp1	sp2
Amd	0.591	dana	dfic
Amd	0.593	dana	dere
Amd	0.585	dana	drho
Amd	0.372	dfic	dere
Amd	0.376	dfic	drho
Amd	0.402	dere	drho
Ddc	0.523	dana	dfic
Ddc	0.497	dana	dere
Ddc	0.527	dana	drho
Ddc	0.402	dfic	dere
Ddc	0.355	dfic	drho
Ddc	0.381	dere	drho
Muscle_protein_20	0.228	dana	dfic
Muscle_protein_20	0.196	dana	dere
Muscle_protein_20	0.186	dana	drho
Muscle_protein_20	0.122	dfic	dere
Muscle_protein_20	0.115	dfic	drho
Muscle_protein_20	0.15	dere	drho
Adh	0.631	dana	dfic
Adh	0.659	dana	dere
Adh	0.617	dana	drho
Adh	0.429	dfic	dere
Adh	0.435	dfic	drho
Adh	0.411	dere	drho
Annexin_x	0.46	dana	dfic
Annexin_x	0.381	dana	dere
Annexin_x	0.341	dana	drho
Annexin_x	0.429	dfic	dere
Annexin_x	0.413	dfic	drho
Annexin_x	0.3	dere	drho
Rab35	0.305	dana	dfic
Rab35	0.332	dana	dere
Rab35	0.414	dana	drho
Rab35	0.213	dfic	dere
Rab35	0.301	dfic	drho
Rab35	0.257	dere	drho
pickel(pck)	0.491	dana	dfic
pickel(pck)	0.535	dana	dere
pickel(pck)	0.527	dana	drho
pickel(pck)	0.43	dfic	dere
pickel(pck)	0.421	dfic	drho
pickel(pck)	0.363	dere	drho
Adar	0.655	dana	dfic
Adar	0.592	dana	dere
Adar	0.617	dana	drho
Adar	0.425	dfic	dere
Adar	0.328	dfic	drho
Adar	0.319	dere	drho
Pgd	0.503	dana	dfic
Pgd	0.547	dana	dere
Pgd	0.465	dana	drho
Pgd	0.36	dfic	dere
Pgd	0.263	dfic	drho
Pgd	0.326	dere	drho
Kirre	0.651	dana	dfic
Kirre	0.585	dana	dere
Kirre	0.573	dana	drho
Kirre	0.378	dfic	dere
Kirre	0.396	dfic	drho
Kirre	0.331	dere	drho
Mcm3	0.481	dana	dfic
Mcm3	0.502	dana	dere
Mcm3	0.537	dana	drho
Mcm3	0.392	dfic	dere
Mcm3	0.437	dfic	drho
Mcm3	0.431	dere	drho
CG42265	0.346	dana	dfic
CG42265	0.472	dana	dere
CG42265	0.471	dana	drho
CG42265	0.342	dfic	dere
CG42265	0.379	dfic	drho
CG42265	0.364	dere	drho
CG4593	0.586	dana	dfic
CG4593	0.597	dana	dere
CG4593	0.607	dana	drho
CG4593	0.506	dfic	dere
CG4593	0.412	dfic	drho
CG4593	0.412	dere	drho
CG14434	0.693	dana	dfic
CG14434	0.668	dana	dere
CG14434	0.636	dana	drho
CG14434	0.485	dfic	dere
CG14434	0.434	dfic	drho
CG14434	0.448	dere	drho
CG14435	0.453	dana	dfic
CG14435	0.489	dana	dere
CG14435	0.419	dana	drho
CG14435	0.334	dfic	dere
